LR,CART,NB,KNN,RF
0.6333333333333333,0.7,0.3666666666666667,0.6666666666666666,0.7
0.6,0.7777777777777778,0.3666666666666667,0.6,0.7777777777777778
0.5777777777777777,0.7,0.3666666666666667,0.6,0.7
0.6333333333333333,0.6833333333333333,0.3666666666666667,0.6833333333333333,0.6833333333333333
0.6833333333333333,0.6499999999999999,0.26111111111111107,0.7388888888888889,0.7
0.6,0.6833333333333333,0.41666666666666663,0.6833333333333333,0.6833333333333333
0.6333333333333333,0.6833333333333333,0.35,0.6499999999999999,0.6833333333333333
0.6333333333333333,0.6833333333333333,0.4,0.6833333333333333,0.6833333333333333
0.6,0.7,0.3333333333333333,0.6666666666666666,0.7
0.6666666666666666,0.6499999999999999,0.35,0.6833333333333333,0.6499999999999999
