LR,CART,NB,KNN,RF
0.7029411764705882,0.7017543859649122,0.5166666666666666,0.6515151515151515,0.7017543859649122
0.7058823529411765,0.7029411764705882,0.4807692307692308,0.6666666666666666,0.7029411764705882
0.681159420289855,0.7017543859649122,0.49743589743589745,0.6666666666666666,0.7017543859649122
0.7029411764705882,0.7165775401069518,0.49743589743589745,0.6666666666666666,0.7165775401069518
0.7017543859649122,0.696969696969697,0.39610389610389607,0.7207792207792207,0.7136363636363636
0.7083333333333333,0.7058823529411765,0.5085470085470085,0.6666666666666666,0.6862745098039216
0.7017543859649122,0.6833333333333333,0.5164835164835164,0.7,0.6666666666666666
0.6862745098039216,0.7,0.5523809523809524,0.6833333333333333,0.7
0.6833333333333333,0.7207792207792207,0.46153846153846156,0.7017543859649122,0.7207792207792207
0.7058823529411765,0.7029411764705882,0.4807692307692308,0.6666666666666666,0.7029411764705882
