LR,CART,NB,KNN,RF
0.7916666666666667,0.6904761904761905,0.9,0.6306818181818181,0.6904761904761905
0.8035714285714286,0.696969696969697,0.8,0.6666666666666666,0.696969696969697
0.7321428571428572,0.6681818181818182,1.0,0.7071428571428571,0.6681818181818182
0.7321428571428572,0.7083333333333333,0.8,0.6833333333333333,0.7083333333333333
0.788888888888889,0.6833333333333333,0.9375,0.7136363636363636,0.7
0.8090909090909091,0.7386363636363636,0.8541666666666667,0.6666666666666666,0.696969696969697
0.7777777777777778,0.6833333333333333,0.8166666666666667,0.7,0.6833333333333333
0.8055555555555556,0.6833333333333333,0.9166666666666667,0.7071428571428571,0.6923076923076923
0.7638888888888888,0.696969696969697,0.8,0.7272727272727273,0.6515151515151515
0.7777777777777778,0.6818181818181819,0.9,0.6904761904761905,0.6818181818181819
